imdb_id,titulo,anio,genero,rating_imdb,streaming_disponible,budget,revenue,popularity
tt3748172,Gerald's Game,2017,"Drama, Horror, Thriller",6.5,No encontrada,,,
tt0118929,Dark City,1998,"Fantasy, Mystery, Sci-Fi",7.6,No encontrada,27000000.0,27200316.0,12.851984
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8,No encontrada,200000000.0,1056057273.0,36.567575
tt0376994,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",6.6,No encontrada,210000000.0,459359555.0,0.867943
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",6.1,No encontrada,,,
tt0076759,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6,No encontrada,,,
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,No encontrada,,,
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,No encontrada,,,
tt0311113,Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",7.5,No encontrada,150000000.0,212011111.0,8.693298
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",7.8,No encontrada,250000000.0,1153304495.0,145.882135
tt12747748,Leave the World Behind,2023,"Drama, Mystery, Thriller",6.4,No encontrada,750000.0,,1.404872
tt1570728,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",7.4,No encontrada,50000000.0,142851197.0,10.246173
tt0118694,In the Mood for Love,2000,"Drama, Romance",8.0,No encontrada,,12854953.0,8.703552
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",6.8,No encontrada,,,
tt0143145,The World Is Not Enough,1999,"Action, Adventure, Thriller",6.4,No encontrada,135000000.0,361832400.0,12.130127
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4,No encontrada,125000000.0,334615000.0,18.695329
tt0816711,World War Z,2013,"Action, Adventure, Horror",7.0,No encontrada,200000000.0,531865000.0,26.114917
tt0338459,Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",4.4,No encontrada,,,
tt1648190,The Dark Tower,2017,"Action, Adventure, Drama",5.6,No encontrada,,,0.192959
tt17279496,Civil War,2024,"Action, Thriller, War",7.0,No encontrada,,,
tt5109280,Raya and the Last Dragon,2021,"Animation, Action, Adventure",7.3,No encontrada,,,
tt9777666,The Tomorrow War,2021,"Action, Adventure, Drama",6.6,No encontrada,,,
tt9639470,Last Night in Soho,2021,"Drama, Horror, Mystery",7.0,No encontrada,,,
